"contig.name";"ssr.no";"ssr.type";"ssr.seq";"ssr.size";"ssr.start";"ssr.end";"MatchID";"contig.length";"geneID";"goTerm";"cellular.components";"biological.processes";"molecular.functions";"keywords"
"AgU000001_v1.1";"1";"p2";"(CA)5";"10";1586;1595;"AgU000001";8457;"VWF_CANLF";"GO:0005783 // GO:0031012 // GO:0005576 // GO:0005578 // GO:0033093 // GO:0051087 // GO:0005518 // GO:0001948 // GO:0019865 // GO:0005178 // GO:0002020 // GO:0042803 // GO:0047485 // GO:0007596 // GO:0007155 // GO:0031589 // GO:0007599 // GO:0030168 // GO:0051260";"blood coagulation (GO:0007596);cell adhesion (GO:0007155);cell-substrate adhesion (GO:0031589);hemostasis (GO:0007599);platelet activation (GO:0030168);protein homooligomerization (GO:0051260);";"chaperone binding (GO:0051087);collagen binding (GO:0005518);glycoprotein binding (GO:0001948);immunoglobulin binding (GO:0019865);integrin binding (GO:0005178);protease binding (GO:0002020);protein homodimerization activity (GO:0042803);protein N-terminus binding (GO:0047485);";"endoplasmic reticulum (GO:0005783);extracellular matrix (GO:0031012);extracellular region (GO:0005576);proteinaceous extracellular matrix (GO:0005578);Weibel-Palade body (GO:0033093);";"Blood coagulation;Cell adhesion;Cleavage on pair of basic residues;Complete proteome;Disulfide bond;Extracellular matrix;Glycoprotein;Hemostasis;Reference proteome;Repeat;Secreted;Signal.;"
"AgU000018_v1.1";"1";"p2";"(AC)5";"10";4757;4766;"AgU000018";5608;"AGRF5_HUMAN";"GO:0009986 // GO:0031410 // GO:0016021 // GO:0005886 // GO:0004930 // GO:0007166 // GO:0006112 // GO:0045444 // GO:0007186 // GO:0042593 // GO:0019216 // GO:0043129";"cell surface receptor signaling pathway (GO:0007166);energy reserve metabolic process (GO:0006112);fat cell differentiation (GO:0045444);G-protein coupled receptor signaling pathway (GO:0007186);glucose homeostasis (GO:0042593);regulation of lipid metabolic process (GO:0019216);surfactant homeostasis (GO:0043129);";"G-protein coupled receptor activity (GO:0004930);";"cell surface (GO:0009986);cytoplasmic vesicle (GO:0031410);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);";"Alternative splicing;Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Immunoglobulin domain;Membrane;Phosphoprotein;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transducer;Transmembrane;Transmembrane helix.;"
"AgU000018_v1.1";"2";"p2";"(TG)5";"10";5364;5373;"AgU000018";5608;"AGRF5_HUMAN";"GO:0009986 // GO:0031410 // GO:0016021 // GO:0005886 // GO:0004930 // GO:0007166 // GO:0006112 // GO:0045444 // GO:0007186 // GO:0042593 // GO:0019216 // GO:0043129";"cell surface receptor signaling pathway (GO:0007166);energy reserve metabolic process (GO:0006112);fat cell differentiation (GO:0045444);G-protein coupled receptor signaling pathway (GO:0007186);glucose homeostasis (GO:0042593);regulation of lipid metabolic process (GO:0019216);surfactant homeostasis (GO:0043129);";"G-protein coupled receptor activity (GO:0004930);";"cell surface (GO:0009986);cytoplasmic vesicle (GO:0031410);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);";"Alternative splicing;Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Immunoglobulin domain;Membrane;Phosphoprotein;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transducer;Transmembrane;Transmembrane helix.;"
"AgU000026_v1.1";"1";"p2";"(GT)5";"10";3260;3269;"AgU000026";5316;"BMR1A_HUMAN";"GO:0030425 // GO:0009897 // GO:1990712 // GO:0016021 // GO:0043025 // GO:0005886 // GO:0005524 // GO:0001948 // GO:0046872 // GO:0042803 // GO:0004674 // GO:0004702 // GO:0000981 // GO:0046332 // GO:0004675 // GO:0030509 // GO:0071773 // GO:0002062 // GO:0048589 // GO:0009950 // GO:0007398 // GO:0042733 // GO:0048568 // GO:0003272 // GO:0060914 // GO:0035137 // GO:0006955 // GO:0001701 // GO:0048368 // GO:0030324 // GO:0048382 // GO:0001707 // GO:0001880 // GO:0050768 // GO:0014032 // GO:0021998 // GO:0042475 // GO:0060021 // GO:0048352 // GO:0021983 // GO:0030501 // GO:0050679 // GO:0002053 // GO:0045669 // GO:0010862 // GO:0060391 // GO:0045944 // GO:0006468 // GO:2000772 // GO:0048378 // GO:0001756 // GO:0019827 // GO:0007179";"BMP signaling pathway (GO:0030509);cellular response to BMP stimulus (GO:0071773);chondrocyte differentiation (GO:0002062);developmental growth (GO:0048589);dorsal/ventral axis specification (GO:0009950);ectoderm development (GO:0007398);embryonic digit morphogenesis (GO:0042733);embryonic organ development (GO:0048568);endocardial cushion formation (GO:0003272);heart formation (GO:0060914);hindlimb morphogenesis (GO:0035137);immune response (GO:0006955);in utero embryonic development (GO:0001701);lateral mesoderm development (GO:0048368);lung development (GO:0030324);mesendoderm development (GO:0048382);mesoderm formation (GO:0001707);Mullerian duct regression (GO:0001880);negative regulation of neurogenesis (GO:0050768);neural crest cell development (GO:0014032);neural plate mediolateral regionalization (GO:0021998);odontogenesis of dentin-containing tooth (GO:0042475);palate development (GO:0060021);paraxial mesoderm structural organization (GO:0048352);pituitary gland development (GO:0021983);positive regulation of bone mineralization (GO:0030501);positive regulation of epithelial cell proliferation (GO:0050679);positive regulation of mesenchymal cell proliferation (GO:0002053);positive regulation of osteoblast differentiation (GO:0045669);positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862);positive regulation of SMAD protein import into nucleus (GO:0060391);positive regulation of transcription from RNA polymerase II promoter (GO:0045944);protein phosphorylation (GO:0006468);regulation of cellular senescence (GO:2000772);regulation of lateral mesodermal cell fate specification (GO:0048378);somitogenesis (GO:0001756);stem cell population maintenance (GO:0019827);transforming growth factor beta receptor signaling pathway (GO:0007179);";"ATP binding (GO:0005524);glycoprotein binding (GO:0001948);metal ion binding (GO:0046872);protein homodimerization activity (GO:0042803);protein serine/threonine kinase activity (GO:0004674);receptor signaling protein serine/threonine kinase activity (GO:0004702);RNA polymerase II transcription factor activity, sequence-specific DNA binding (GO:0000981);SMAD binding (GO:0046332);transmembrane receptor protein serine/threonine kinase activity (GO:0004675);";"dendrite (GO:0030425);external side of plasma membrane (GO:0009897);HFE-transferrin receptor complex (GO:1990712);integral component of membrane (GO:0016021);neuronal cell body (GO:0043025);plasma membrane (GO:0005886);";"3D-structure;ATP-binding;Complete proteome;Disease mutation;Disulfide bond;Glycoprotein;Kinase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Polymorphism;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix.;"
"AgU000026_v1.1";"2";"p2";"(CA)5";"10";3970;3979;"AgU000026";5316;"BMR1A_HUMAN";"GO:0030425 // GO:0009897 // GO:1990712 // GO:0016021 // GO:0043025 // GO:0005886 // GO:0005524 // GO:0001948 // GO:0046872 // GO:0042803 // GO:0004674 // GO:0004702 // GO:0000981 // GO:0046332 // GO:0004675 // GO:0030509 // GO:0071773 // GO:0002062 // GO:0048589 // GO:0009950 // GO:0007398 // GO:0042733 // GO:0048568 // GO:0003272 // GO:0060914 // GO:0035137 // GO:0006955 // GO:0001701 // GO:0048368 // GO:0030324 // GO:0048382 // GO:0001707 // GO:0001880 // GO:0050768 // GO:0014032 // GO:0021998 // GO:0042475 // GO:0060021 // GO:0048352 // GO:0021983 // GO:0030501 // GO:0050679 // GO:0002053 // GO:0045669 // GO:0010862 // GO:0060391 // GO:0045944 // GO:0006468 // GO:2000772 // GO:0048378 // GO:0001756 // GO:0019827 // GO:0007179";"BMP signaling pathway (GO:0030509);cellular response to BMP stimulus (GO:0071773);chondrocyte differentiation (GO:0002062);developmental growth (GO:0048589);dorsal/ventral axis specification (GO:0009950);ectoderm development (GO:0007398);embryonic digit morphogenesis (GO:0042733);embryonic organ development (GO:0048568);endocardial cushion formation (GO:0003272);heart formation (GO:0060914);hindlimb morphogenesis (GO:0035137);immune response (GO:0006955);in utero embryonic development (GO:0001701);lateral mesoderm development (GO:0048368);lung development (GO:0030324);mesendoderm development (GO:0048382);mesoderm formation (GO:0001707);Mullerian duct regression (GO:0001880);negative regulation of neurogenesis (GO:0050768);neural crest cell development (GO:0014032);neural plate mediolateral regionalization (GO:0021998);odontogenesis of dentin-containing tooth (GO:0042475);palate development (GO:0060021);paraxial mesoderm structural organization (GO:0048352);pituitary gland development (GO:0021983);positive regulation of bone mineralization (GO:0030501);positive regulation of epithelial cell proliferation (GO:0050679);positive regulation of mesenchymal cell proliferation (GO:0002053);positive regulation of osteoblast differentiation (GO:0045669);positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862);positive regulation of SMAD protein import into nucleus (GO:0060391);positive regulation of transcription from RNA polymerase II promoter (GO:0045944);protein phosphorylation (GO:0006468);regulation of cellular senescence (GO:2000772);regulation of lateral mesodermal cell fate specification (GO:0048378);somitogenesis (GO:0001756);stem cell population maintenance (GO:0019827);transforming growth factor beta receptor signaling pathway (GO:0007179);";"ATP binding (GO:0005524);glycoprotein binding (GO:0001948);metal ion binding (GO:0046872);protein homodimerization activity (GO:0042803);protein serine/threonine kinase activity (GO:0004674);receptor signaling protein serine/threonine kinase activity (GO:0004702);RNA polymerase II transcription factor activity, sequence-specific DNA binding (GO:0000981);SMAD binding (GO:0046332);transmembrane receptor protein serine/threonine kinase activity (GO:0004675);";"dendrite (GO:0030425);external side of plasma membrane (GO:0009897);HFE-transferrin receptor complex (GO:1990712);integral component of membrane (GO:0016021);neuronal cell body (GO:0043025);plasma membrane (GO:0005886);";"3D-structure;ATP-binding;Complete proteome;Disease mutation;Disulfide bond;Glycoprotein;Kinase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Polymorphism;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix.;"
"AgU000033_v1.1";"3";"p2";"(CT)5";"10";1804;1813;"AgU000033";5228;"RORA_MOUSE";"GO:0005654 // GO:0005634 // GO:0008013 // GO:0001046 // GO:0003677 // GO:0008142 // GO:0000977 // GO:0004879 // GO:0043565 // GO:0003707 // GO:0001223 // GO:0001222 // GO:0098531 // GO:0003700 // GO:0008134 // GO:0008270 // GO:0001525 // GO:0071456 // GO:0071347 // GO:0036315 // GO:0071356 // GO:0021930 // GO:0021702 // GO:0046068 // GO:0032922 // GO:0007623 // GO:0030522 // GO:0042692 // GO:0045599 // GO:0043124 // GO:0050728 // GO:0006809 // GO:0042753 // GO:0045944 // GO:0045893 // GO:0010575 // GO:2000188 // GO:0042752 // GO:0010906 // GO:0043030 // GO:0008589 // GO:0019218 // GO:0060850 // GO:0006355 // GO:0072539 // GO:0006351 // GO:0070328 // GO:0006805";"angiogenesis (GO:0001525);cellular response to hypoxia (GO:0071456);cellular response to interleukin-1 (GO:0071347);cellular response to sterol (GO:0036315);cellular response to tumor necrosis factor (GO:0071356);cerebellar granule cell precursor proliferation (GO:0021930);cerebellar Purkinje cell differentiation (GO:0021702);cGMP metabolic process (GO:0046068);circadian regulation of gene expression (GO:0032922);circadian rhythm (GO:0007623);intracellular receptor signaling pathway (GO:0030522);muscle cell differentiation (GO:0042692);negative regulation of fat cell differentiation (GO:0045599);negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124);negative regulation of inflammatory response (GO:0050728);nitric oxide biosynthetic process (GO:0006809);positive regulation of circadian rhythm (GO:0042753);positive regulation of transcription from RNA polymerase II promoter (GO:0045944);positive regulation of transcription, DNA-templated (GO:0045893);positive regulation of vascular endothelial growth factor production (GO:0010575);regulation of cholesterol homeostasis (GO:2000188);regulation of circadian rhythm (GO:0042752);regulation of glucose metabolic process (GO:0010906);regulation of macrophage activation (GO:0043030);regulation of smoothened signaling pathway (GO:0008589);regulation of steroid metabolic process (GO:0019218);regulation of transcription involved in cell fate commitment (GO:0060850);regulation of transcription, DNA-templated (GO:0006355);T-helper 17 cell differentiation (GO:0072539);transcription, DNA-templated (GO:0006351);triglyceride homeostasis (GO:0070328);xenobiotic metabolic process (GO:0006805);";"beta-catenin binding (GO:0008013);core promoter sequence-specific DNA binding (GO:0001046);DNA binding (GO:0003677);oxysterol binding (GO:0008142);RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977);RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding (GO:0004879);sequence-specific DNA binding (GO:0043565);steroid hormone receptor activity (GO:0003707);transcription coactivator binding (GO:0001223);transcription corepressor binding (GO:0001222);transcription factor activity, direct ligand regulated sequence-specific DNA binding (GO:0098531);transcription factor activity, sequence-specific DNA binding (GO:0003700);transcription factor binding (GO:0008134);zinc ion binding (GO:0008270);";"nucleoplasm (GO:0005654);nucleus (GO:0005634);";"Activator;Alternative promoter usage;Biological rhythms;Complete proteome;Direct protein sequencing;Disease mutation;DNA-binding;Isopeptide bond;Metal-binding;Methylation;Nucleus;Phosphoprotein;Receptor;Reference proteome;Transcription;Transcription regulation;Ubl conjugation;Zinc;Zinc-finger.;"
"AgU000033_v1.1";"4";"p3";"(AAT)5";"15";3514;3528;"AgU000033";5228;"RORA_MOUSE";"GO:0005654 // GO:0005634 // GO:0008013 // GO:0001046 // GO:0003677 // GO:0008142 // GO:0000977 // GO:0004879 // GO:0043565 // GO:0003707 // GO:0001223 // GO:0001222 // GO:0098531 // GO:0003700 // GO:0008134 // GO:0008270 // GO:0001525 // GO:0071456 // GO:0071347 // GO:0036315 // GO:0071356 // GO:0021930 // GO:0021702 // GO:0046068 // GO:0032922 // GO:0007623 // GO:0030522 // GO:0042692 // GO:0045599 // GO:0043124 // GO:0050728 // GO:0006809 // GO:0042753 // GO:0045944 // GO:0045893 // GO:0010575 // GO:2000188 // GO:0042752 // GO:0010906 // GO:0043030 // GO:0008589 // GO:0019218 // GO:0060850 // GO:0006355 // GO:0072539 // GO:0006351 // GO:0070328 // GO:0006805";"angiogenesis (GO:0001525);cellular response to hypoxia (GO:0071456);cellular response to interleukin-1 (GO:0071347);cellular response to sterol (GO:0036315);cellular response to tumor necrosis factor (GO:0071356);cerebellar granule cell precursor proliferation (GO:0021930);cerebellar Purkinje cell differentiation (GO:0021702);cGMP metabolic process (GO:0046068);circadian regulation of gene expression (GO:0032922);circadian rhythm (GO:0007623);intracellular receptor signaling pathway (GO:0030522);muscle cell differentiation (GO:0042692);negative regulation of fat cell differentiation (GO:0045599);negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124);negative regulation of inflammatory response (GO:0050728);nitric oxide biosynthetic process (GO:0006809);positive regulation of circadian rhythm (GO:0042753);positive regulation of transcription from RNA polymerase II promoter (GO:0045944);positive regulation of transcription, DNA-templated (GO:0045893);positive regulation of vascular endothelial growth factor production (GO:0010575);regulation of cholesterol homeostasis (GO:2000188);regulation of circadian rhythm (GO:0042752);regulation of glucose metabolic process (GO:0010906);regulation of macrophage activation (GO:0043030);regulation of smoothened signaling pathway (GO:0008589);regulation of steroid metabolic process (GO:0019218);regulation of transcription involved in cell fate commitment (GO:0060850);regulation of transcription, DNA-templated (GO:0006355);T-helper 17 cell differentiation (GO:0072539);transcription, DNA-templated (GO:0006351);triglyceride homeostasis (GO:0070328);xenobiotic metabolic process (GO:0006805);";"beta-catenin binding (GO:0008013);core promoter sequence-specific DNA binding (GO:0001046);DNA binding (GO:0003677);oxysterol binding (GO:0008142);RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977);RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding (GO:0004879);sequence-specific DNA binding (GO:0043565);steroid hormone receptor activity (GO:0003707);transcription coactivator binding (GO:0001223);transcription corepressor binding (GO:0001222);transcription factor activity, direct ligand regulated sequence-specific DNA binding (GO:0098531);transcription factor activity, sequence-specific DNA binding (GO:0003700);transcription factor binding (GO:0008134);zinc ion binding (GO:0008270);";"nucleoplasm (GO:0005654);nucleus (GO:0005634);";"Activator;Alternative promoter usage;Biological rhythms;Complete proteome;Direct protein sequencing;Disease mutation;DNA-binding;Isopeptide bond;Metal-binding;Methylation;Nucleus;Phosphoprotein;Receptor;Reference proteome;Transcription;Transcription regulation;Ubl conjugation;Zinc;Zinc-finger.;"
"AgU000038_v1.1";"1";"p2";"(TA)5";"10";3523;3532;"AgU000038";5044;"IL6RB_HUMAN";"GO:0070110 // GO:0030425 // GO:0009897 // GO:0070062 // GO:0005576 // GO:0005615 // GO:0005896 // GO:0016020 // GO:0043025 // GO:0005900 // GO:0005886 // GO:0004897 // GO:0005127 // GO:0019838 // GO:0004921 // GO:0045509 // GO:0042803 // GO:0070120 // GO:0019221 // GO:0005977 // GO:0070106 // GO:0070102 // GO:0048861 // GO:0043066 // GO:0070104 // GO:0038165 // GO:0002675 // GO:0002821 // GO:0048711 // GO:0010613 // GO:0008284 // GO:0045669 // GO:0042102 // GO:0042511 // GO:0042517 // GO:0010575 // GO:0008593 // GO:0034097 // GO:0016032";"ciliary neurotrophic factor-mediated signaling pathway (GO:0070120);cytokine-mediated signaling pathway (GO:0019221);glycogen metabolic process (GO:0005977);interleukin-27-mediated signaling pathway (GO:0070106);interleukin-6-mediated signaling pathway (GO:0070102);leukemia inhibitory factor signaling pathway (GO:0048861);negative regulation of apoptotic process (GO:0043066);negative regulation of interleukin-6-mediated signaling pathway (GO:0070104);oncostatin-M-mediated signaling pathway (GO:0038165);positive regulation of acute inflammatory response (GO:0002675);positive regulation of adaptive immune response (GO:0002821);positive regulation of astrocyte differentiation (GO:0048711);positive regulation of cardiac muscle hypertrophy (GO:0010613);positive regulation of cell proliferation (GO:0008284);positive regulation of osteoblast differentiation (GO:0045669);positive regulation of T cell proliferation (GO:0042102);positive regulation of tyrosine phosphorylation of Stat1 protein (GO:0042511);positive regulation of tyrosine phosphorylation of Stat3 protein (GO:0042517);positive regulation of vascular endothelial growth factor production (GO:0010575);regulation of Notch signaling pathway (GO:0008593);response to cytokine (GO:0034097);viral process (GO:0016032);";"ciliary neurotrophic factor receptor activity (GO:0004897);ciliary neurotrophic factor receptor binding (GO:0005127);growth factor binding (GO:0019838);interleukin-11 receptor activity (GO:0004921);interleukin-27 receptor activity (GO:0045509);protein homodimerization activity (GO:0042803);";"ciliary neurotrophic factor receptor complex (GO:0070110);dendrite (GO:0030425);external side of plasma membrane (GO:0009897);extracellular exosome (GO:0070062);extracellular region (GO:0005576);extracellular space (GO:0005615);interleukin-6 receptor complex (GO:0005896);membrane (GO:0016020);neuronal cell body (GO:0043025);oncostatin-M receptor complex (GO:0005900);plasma membrane (GO:0005886);";"3D-structure;Alternative splicing;Cell membrane;Complete proteome;Direct protein sequencing;Disulfide bond;Glycoprotein;Host-virus interaction;Immunoglobulin domain;Membrane;Phosphoprotein;Polymorphism;Receptor;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix.;"
"AgU000053_v1.1";"1";"p2";"(AG)6";"12";3638;3649;"AgU000053";4743;"AKAP9_HUMAN";"GO:0005813 // GO:0036064 // GO:0005801 // GO:0005856 // GO:0005829 // GO:0005794 // GO:0005795 // GO:0043231 // GO:0000242 // GO:0008076 // GO:0044325 // GO:0015459 // GO:0032947 // GO:0034237 // GO:0005102 // GO:0000186 // GO:0007411 // GO:0071320 // GO:0007173 // GO:0038095 // GO:0008543 // GO:0000086 // GO:0045087 // GO:0008286 // GO:0000165 // GO:0007020 // GO:0000278 // GO:0048011 // GO:0006996 // GO:0033138 // GO:1901018 // GO:0007265 // GO:0086091 // GO:0060306 // GO:0060307 // GO:0060009 // GO:0007165 // GO:0007264 // GO:0007283 // GO:0007268 // GO:0006810 // GO:0048010";"activation of MAPKK activity (GO:0000186);axon guidance (GO:0007411);cellular response to cAMP (GO:0071320);epidermal growth factor receptor signaling pathway (GO:0007173);Fc-epsilon receptor signaling pathway (GO:0038095);fibroblast growth factor receptor signaling pathway (GO:0008543);G2/M transition of mitotic cell cycle (GO:0000086);innate immune response (GO:0045087);insulin receptor signaling pathway (GO:0008286);MAPK cascade (GO:0000165);microtubule nucleation (GO:0007020);mitotic cell cycle (GO:0000278);neurotrophin TRK receptor signaling pathway (GO:0048011);organelle organization (GO:0006996);positive regulation of peptidyl-serine phosphorylation (GO:0033138);positive regulation of potassium ion transmembrane transporter activity (GO:1901018);Ras protein signal transduction (GO:0007265);regulation of heart rate by cardiac conduction (GO:0086091);regulation of membrane repolarization (GO:0060306);regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307);Sertoli cell development (GO:0060009);signal transduction (GO:0007165);small GTPase mediated signal transduction (GO:0007264);spermatogenesis (GO:0007283);synaptic transmission (GO:0007268);transport (GO:0006810);vascular endothelial growth factor receptor signaling pathway (GO:0048010);";"ion channel binding (GO:0044325);potassium channel regulator activity (GO:0015459);protein complex scaffold (GO:0032947);protein kinase A regulatory subunit binding (GO:0034237);receptor binding (GO:0005102);";"centrosome (GO:0005813);ciliary basal body (GO:0036064);cis-Golgi network (GO:0005801);cytoskeleton (GO:0005856);cytosol (GO:0005829);Golgi apparatus (GO:0005794);Golgi stack (GO:0005795);intracellular membrane-bounded organelle (GO:0043231);pericentriolar material (GO:0000242);voltage-gated potassium channel complex (GO:0008076);";"Alternative splicing;Coiled coil;Complete proteome;Cytoplasm;Cytoskeleton;Disease mutation;Golgi apparatus;Long QT syndrome;Phosphoprotein;Polymorphism;Reference proteome.;"
"AgU000073_v1.1";"1";"p2";"(TA)6";"12";2171;2182;"AgU000073";4373;"TGFR2_HUMAN";"GO:0005901 // GO:0005829 // GO:0009897 // GO:0016021 // GO:0005886 // GO:0043235 // GO:0070022 // GO:0005524 // GO:0005539 // GO:0046872 // GO:0004702 // GO:0046332 // GO:0050431 // GO:0005026 // GO:0005024 // GO:0004675 // GO:0034713 // GO:0034714 // GO:0032147 // GO:0006915 // GO:0001568 // GO:0007420 // GO:0048701 // GO:0035162 // GO:0007507 // GO:0043011 // GO:0030512 // GO:0060021 // GO:0060389 // GO:0001569 // GO:0018105 // GO:0018107 // GO:0002663 // GO:0008284 // GO:0002053 // GO:0051138 // GO:2000379 // GO:0002666 // GO:0002651 // GO:0006468 // GO:0042127 // GO:0040008 // GO:0070723 // GO:0042493 // GO:0007179 // GO:0001570";"activation of protein kinase activity (GO:0032147);apoptotic process (GO:0006915);blood vessel development (GO:0001568);brain development (GO:0007420);embryonic cranial skeleton morphogenesis (GO:0048701);embryonic hemopoiesis (GO:0035162);heart development (GO:0007507);myeloid dendritic cell differentiation (GO:0043011);negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512);palate development (GO:0060021);pathway-restricted SMAD protein phosphorylation (GO:0060389);patterning of blood vessels (GO:0001569);peptidyl-serine phosphorylation (GO:0018105);peptidyl-threonine phosphorylation (GO:0018107);positive regulation of B cell tolerance induction (GO:0002663);positive regulation of cell proliferation (GO:0008284);positive regulation of mesenchymal cell proliferation (GO:0002053);positive regulation of NK T cell differentiation (GO:0051138);positive regulation of reactive oxygen species metabolic process (GO:2000379);positive regulation of T cell tolerance induction (GO:0002666);positive regulation of tolerance induction to self antigen (GO:0002651);protein phosphorylation (GO:0006468);regulation of cell proliferation (GO:0042127);regulation of growth (GO:0040008);response to cholesterol (GO:0070723);response to drug (GO:0042493);transforming growth factor beta receptor signaling pathway (GO:0007179);vasculogenesis (GO:0001570);";"ATP binding (GO:0005524);glycosaminoglycan binding (GO:0005539);metal ion binding (GO:0046872);receptor signaling protein serine/threonine kinase activity (GO:0004702);SMAD binding (GO:0046332);transforming growth factor beta binding (GO:0050431);transforming growth factor beta receptor activity, type II (GO:0005026);transforming growth factor beta-activated receptor activity (GO:0005024);transmembrane receptor protein serine/threonine kinase activity (GO:0004675);type I transforming growth factor beta receptor binding (GO:0034713);type III transforming growth factor beta receptor binding (GO:0034714);";"caveola (GO:0005901);cytosol (GO:0005829);external side of plasma membrane (GO:0009897);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);receptor complex (GO:0043235);transforming growth factor beta receptor homodimeric complex (GO:0070022);";"3D-structure;Alternative splicing;Aortic aneurysm;Apoptosis;ATP-binding;Cell membrane;Complete proteome;Differentiation;Direct protein sequencing;Disease mutation;Disulfide bond;Glycoprotein;Growth regulation;Hereditary nonpolyposis colorectal cancer;Kinase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Polymorphism;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix.;"
